Date,Open,High,Low,Close,Change,Volume
2016-04-05,23247.35,23307.71,23187.66,23212.57,-25.67,327624992
2016-04-06,23252.99,23411.09,23252.99,23347.72,135.15,298765984
2016-04-07,23409.4,23440.64,23334.91,23362.98,15.26,261474320
2016-04-08,23364.26,23489.53,23361.49,23458.54,95.56,196121520
2016-04-11,23524.99,23613.19,23204.23,23216.02,-242.52,224712304
2016-04-12,23232.18,23264.75,23096.05,23183.14,-32.88,156496160
2016-04-13,23228.65,23293.07,23040.72,23109.74,-73.4,187753824
2016-04-14,23121.44,23220.77,23099.92,23139.1,29.36,188783008
2016-04-15,23154.54,23244.49,23138.39,23138.55,-0.55,193901104
2016-04-18,23090.49,23144.76,23042.35,23118.09,-20.46,156583808
2016-04-19,23123.64,23190.63,23061.14,23077.4,-40.69,241446464
2016-04-20,23095.43,23110.02,23015.92,23033.36,-44.04,262827824
2016-04-21,23036.41,23299.69,23036.41,23096.75,63.39,327068224
2016-04-22,23114.93,23274.43,23105.57,23242.95,146.2,208731664
2016-04-25,23258.32,23277.07,23081.94,23213.47,-29.48,171289072
2016-04-26,23236.28,23435.01,23228.24,23320.63,107.16,258490912
2016-04-27,23383.32,23665.51,23383.32,23643.7,323.07,257628896
2016-04-28,23668.61,23854.19,23668.61,23809.97,166.27,270035456
2016-04-29,23877.91,24030.45,23799.78,23953.98,144.01,254722032
2016-05-02,23955.93,23971.96,23811.63,23838.75,-115.23,185578224
2016-05-03,23830.14,24089.97,23787.24,24046.13,207.38,197758816
2016-05-04,24062.9,24344.2,24062.9,24289.3,243.17,279266240
2016-05-05,24326.09,24641.65,24326.09,24620.63,331.33,250959104
2016-05-06,24646.42,24753.79,24562.91,24615.93,-4.7,286069824
2016-05-09,24687.94,24799.62,24664.82,24746.82,130.89,273020512
2016-05-10,24715.74,24781.91,24636.44,24750.49,3.67,281467168
2016-05-11,24815.8,24852.9,24690.37,24699.26,-51.23,300987776
2016-05-12,24700.33,24829.11,24552.76,24570.97,-128.29,304058496
2016-05-13,24576.83,24618.45,24481.87,24612.74,41.77,312753248
2016-05-16,24658.91,24703.42,24602.01,24616.22,3.48,220954944
2016-05-17,24677.63,24795.65,24614.2,24637.96,21.74,274274624
2016-05-18,24682.94,24756.32,24658.45,24715.26,77.3,268573152
2016-05-19,24714.01,24966.57,24712.54,24870.65,155.39,468363616
2016-05-20,24900.61,24981.11,24881.47,24899.63,28.98,394920960
2016-05-23,24915.12,24924.61,24771.45,24895.35,-4.28,265548064
2016-05-24,24908.06,24943.63,24790.72,24790.72,-104.63,298412096
2016-05-25,24793.31,24918.31,24750.99,24760.14,-30.58,269118144
2016-05-26,24806.07,24905.15,24758.3,24824.46,64.32,212864288
2016-05-27,24843.43,24950.55,24792.59,24856.43,31.97,199985840
2016-05-30,24848.98,24875.62,24599.5,24605.14,-251.29,205448128
2016-05-31,24593.07,24710.85,24408.18,24493.91,-111.23,220786592
2016-06-01,24483.67,24745.27,24473.59,24721.52,227.61,206275968
2016-06-02,24719.17,24947.17,24719.17,24894.18,172.66,306925152
2016-06-03,24926.01,25181.98,24926.01,25115.51,221.33,253618864
2016-06-06,25140.17,25225.42,25098.91,25108.05,-7.46,227515936
2016-06-07,25136.61,25191.15,25087.23,25116.26,8.21,140305904
2016-06-08,25174.94,25222.47,25070.19,25093.72,-22.54,143021328
2016-06-09,25135.87,25182.12,25062.73,25067.55,-26.17,139850016
2016-06-10,25090.71,25100.44,24720.94,24759.5,-308.05,109216728
2016-06-13,24719.23,24785.53,24566.17,24738.85,-20.65,139416208
2016-06-14,24773.85,25048.12,24773.85,25016.87,278.02,143563216
2016-06-15,25065.58,25557.48,25065.58,25557.48,540.61,243691200
2016-06-16,25567.08,25768.8,25457.57,25604.84,47.36,255782736
2016-06-17,25614.3,25676.94,25534.66,25632.17,27.33,134636032
2016-06-20,25723.59,25777.05,25524.93,25550.06,-82.11,149155808
2016-06-21,25566.4,25631.78,25455.33,25537.02,-13.04,154539216
2016-06-23,25416.87,25450.34,25309.52,25438.69,14.83,113658144
2016-06-24,25430.85,25430.85,24631.94,24947.36,-491.33,236839968
2016-06-27,24931.07,24990.73,24679.05,24726.07,-221.29,163689456
2016-06-28,24738.36,24849.27,24635.24,24798.55,72.48,158900096
2016-06-29,24885.76,25304.65,24885.76,25298.8,500.25,134275104
2016-06-30,25306.77,25453.12,25235.74,25313.12,14.32,115309760
2016-07-04,25355.66,25465.2,25248.5,25451.59,138.47,110621752
2016-07-11,25379.13,25707.21,25342.49,25683.53,231.94,159511104
2016-07-12,25705.89,26097.63,25705.89,26080.04,396.51,248396144
2016-07-13,26125.06,26229.93,26107.84,26133.45,53.41,196128032
2016-07-14,26139.3,26229.08,26080.15,26207.06,73.61,164963696
2016-07-15,26217.52,26293.08,26136.54,26156.41,-50.65,199796896
2016-07-18,26157.7,26200.12,25992.41,26200.12,43.71,172003136
2016-07-19,26191.2,26287.78,26110.08,26147.83,-52.29,178065248
2016-07-20,26153.22,26196.77,25981.6,26100.3,-47.53,232299936
2016-07-21,26088.78,26282.37,26088.78,26185.81,85.51,233829952
2016-07-22,26187.6,26242.09,26075.22,26103.07,-82.74,219536224
2016-07-25,26098.63,26108.24,25967.23,26049.92,-53.15,165957296
2016-07-26,26034.66,26134.63,26034.66,26119.14,69.22,197055712
2016-07-27,26141.88,26345.31,26110.26,26236.07,116.93,224250256
2016-07-28,26250.05,26403.83,26169.75,26288.12,52.05,181338400
2016-07-29,26261.51,26321.85,26181.73,26316.43,28.31,145435168
2016-08-01,26337.53,26563.55,26332.5,26487.5,171.07,203783552
2016-08-02,26505.07,26537.61,26428.46,26507.4,19.9,225823808
2016-08-03,26517.43,26536.84,26357.33,26371.29,-136.11,227613152
2016-08-04,26383.18,26499.56,26264.0,26292.27,-79.02,204846048
2016-08-05,26277.27,26349.77,26248.91,26265.71,-26.56,262623072
2016-08-08,26251.42,26317.04,26233.5,26301.96,36.25,199411056
2016-08-09,26302.87,26456.85,26302.87,26411.2,109.24,221183328
2016-08-10,26433.85,26510.04,26433.85,26484.31,73.11,242156512
2016-08-11,26488.45,26574.98,26473.08,26510.11,25.8,385014368
2016-08-12,26600.16,26694.65,26546.22,26570.02,59.91,277573568
2016-08-15,26638.0,26738.35,26629.17,26729.42,159.4,216385296
2016-08-16,26807.71,26829.2,26694.19,26739.03,9.61,240361056
2016-08-17,26756.07,26834.84,26705.73,26771.77,32.74,239018592
